Overall Rank,State
4,New Hampshire
20,Idaho
2,Vermont
8,Maine
7,New Jersey
5,Massachusetts
11,Virginia
19,New York
12,Connecticut
39,West Virginia
25,Wisconsin
17,Iowa
23,Rhode Island
13,Pennsylvania
33,Michigan
1,Wyoming
21,Maryland
15,Nebraska
9,Florida
26,Indiana
36,Kentucky
24,Ohio
3,South Dakota
22,Minnesota
16,Utah
18,Montana
6,North Dakota
38,Hawaii
32,Alaska
42,Arizona
14,Delaware
37,Illinois
29,North Carolina
46,Alabama
30,Nevada
48,California
27,Tennessee
28,Texas
49,Mississippi
35,Georgia
40,Missouri
34,Oregon
47,Oklahoma
41,Kansas
43,South Carolina
31,Colorado
10,Washington
44,Arkansas
45,New Mexico
50,Louisiana
