Overall Rank,State,Affordability,Crime,Economy,Education,Healthcare,Infrastructure,Quality of Life,Opportunities
1,Wyoming,1,16,1,13,37,33,36,1
2,Vermont,16,3,27,6,1,18,22,12
3,South Dakota,2,23,17,4,27,39,39,2
4,New Hampshire,12,1,10,9,7,17,37,13
5,Massachusetts,48,6,26,1,4,12,6,19
6,North Dakota,5,27,4,7,31,20,31,4
7,New Jersey,41,5,19,2,13,11,7,39
8,Maine,28,4,25,14,14,49,8,25
9,Florida,24,19,7,40,23,6,4,14
10,Washington,23,47,11,29,5,21,2,15
11,Virginia,30,7,20,17,17,3,15,35
12,Connecticut,45,9,24,3,3,44,11,47
13,Pennsylvania,9,14,35,20,11,27,20,38
14,Delaware,26,31,5,21,16,1,13,37
15,Nebraska,31,18,9,5,29,19,47,26
16,Utah,27,25,6,28,26,13,28,6
17,Iowa,17,12,23,8,24,38,29,43
18,Montana,22,26,3,16,28,48,34,11
19,New York,47,8,44,10,6,15,12,32
20,Idaho,20,2,2,33,32,40,49,9
21,Maryland,44,17,18,22,8,2,23,30
22,Minnesota,42,24,13,12,10,24,16,36
23,Rhode Island,40,13,42,19,9,25,10,33
24,Ohio,4,22,43,25,34,34,35,16
25,Wisconsin,14,11,32,15,19,35,24,49
26,Indiana,6,20,31,34,41,14,33,17
27,Tennessee,3,37,22,35,38,8,30,24
28,Texas,8,38,15,32,45,29,32,8
29,North Carolina,19,33,14,39,39,26,27,7
30,Nevada,10,35,28,49,35,4,18,3
31,Colorado,46,46,8,27,15,10,17,18
32,Alaska,11,29,36,46,22,7,14,27
33,Michigan,15,15,47,37,25,36,19,34
34,Oregon,43,42,30,36,12,9,5,42
35,Georgia,36,40,16,42,40,5,25,10
36,Kentucky,13,21,46,26,47,28,48,21
37,Illinois,29,32,38,23,18,22,26,50
38,Hawaii,50,28,40,44,2,37,1,44
39,West Virginia,7,10,39,30,36,50,46,48
40,Missouri,25,41,34,18,42,47,43,23
41,Kansas,37,44,33,11,33,23,45,40
42,Arizona,32,30,21,50,30,16,21,22
43,South Carolina,38,45,12,43,43,32,41,5
44,Arkansas,34,48,37,24,44,46,38,20
45,New Mexico,18,49,49,45,20,45,42,29
46,Alabama,33,34,45,41,46,30,50,28
47,Oklahoma,35,43,29,31,50,42,40,31
48,California,49,36,41,47,21,31,3,46
49,Mississippi,21,39,50,38,48,43,44,45
50,Louisiana,39,50,48,48,49,41,9,41
