State,2018,2019,2020,2021,2022
Alabama,64.5,65.4,64.9,64.2,64
Alaska,30.4,32.2,27.5,26.5,28.8
Arizona,62.3,60.3,62.6,62.1,61.2
Arkansas,61.2,61.2,61.2,61.3,61.1
California,60.1,58.4,60.5,60.4,60.1
Colorado,47.2,45.3,47.3,47.5,46.1
Conneticut,50.8,49.8,51.8,51.4,51
Delaware,57.1,57.5,58,57.4,56.4
Florida,72.3,73.2,73.2,72.2,72.4
Georgia,65.1,66.2,65.6,64.6,64.8
Hawaii,0,0,0,0,0
Idaho,44.5,43,44.3,45.4,43.4
Illinois,52.5,52.1,53.3,53.8,52.1
Indiana,52.6,52.4,53.3,53.5,52.2
Iowa,47.5,46.8,49.2,50,47.5
Kansas,54.6,53.8,55.6,56.1,55.2
Kentucky,57,57.5,57.1,57,56.4
Louisiana,67.8,67.7,68.2,67.5,67.4
Maine,41.8,40.7,43.5,44.2,43.4
Maryland,55.9,56.6,57.2,56.8,55.7
Massachusetts,49.5,48.5,50.9,50.8,50.3
Michigan,45.1,43.9,46.5,47.4,45.1
Minnesota,40.6,39.3,42.4,44.3,40
Mississppi,64.8,65.2,65.5,64.7,64.7
Missouri,55.2,55,55.8,56.3,55
Montana,41.3,39.9,43.3,44,42.1
Nebraska,48.3,47.5,50.6,51.1,49.6
Nevada,52,49.9,52.4,52.5,51.6
New Hampshire,44.5,43.3,45.9,46.1,45.3
New Jersey,54.2,54.3,55.5,55.1,54.3
New Mexico,55.5,54.5,56,55.4,54.6
New York,46.2,45.2,47.8,47.7,46.6
North Carolina,60.4,61.3,60.8,60.2,60.1
North Dakota,39.8,38,42.3,43.8,39.4
Ohio,52.2,52.4,53,53.2,51.7
Oklahoma,60.2,59.9,60.7,60.8,60.9
Oregon,48.4,47.1,48.8,49.2,48.3
Pennsylvania,49.8,49.9,51.2,51.2,49.7
Rhode Island,51.6,50.6,52.8,52.5,52
South Carolina,64.3,65,64.6,63.7,63.7
South Dakota,44.1,42.3,46.8,48,45.1
Tennessee,59.1,59.8,59.3,59,58.5
Texas,66,65.9,66.9,66.2,66.5
Utah,50.4,47.9,50.4,50.7,49.4
Vermot,43.2,41.9,44.8,45,44.1
Virginia,56.6,57.5,57.4,57.1,56.2
Washington,48.1,46.5,48.1,48.3,47.1
West Virginia,53.3,54.2,54,53.6,52.4
Wisconsin,43.2,42.1,44.8,45.8,42.8
Wyoming,42.4,40.3,42.8,43.6,41.8
