state,City analyzed (population),Average monthly cost of groceries per person
Alabama,"Birmingham (212,200)",$397.39 
Alaska,"Anchorage (291,800)",$483.24 
Arizona,Phoenix (1.44M),$302.80 
Arkansas,"Little Rock (193,500)",$282.46 
California,Los Angeles (4.79M),$370.96 
Colorado,"Denver (600,100)",$326.92 
Connecticut,"Bridgeport (144,200)",$343.30 
Delaware,"Wilmington (70,800)",$380.39 
Florida,"Jacksonville (880,600)",$364.25 
Georgia,"Atlanta (420,000)",$397.97 
Hawaii,"Honolulu (337,200)",$556.76 
Idaho,"Boise (205,700)",$281.12 
Illinois,Chicago (2.69M),$327.31 
Indiana,"Indianapolis (820,400)",$318.03 
Iowa,"Des Moines (215,500)",$347.05 
Kansas,"Witchita (382,400)",$261.35 
Kentucky,"Louisville (597,300)",$315.20 
Louisiana,"New Orleans (343,800)",$325.19 
Maine,"Portland (66,200)",$372.21 
Maryland,"Baltimore (620,900)",$343.67 
Massachusetts,"Boston (617,600)",$406.21 
Michigan,"Detroit (713,800)",$327.12 
Minnesota,"Minneapolis (382,600)",$395.39 
Mississippi,"Jackson (173,500)",$423.33 
Missouri,"Kansas City (459,800)",$312.63 
Montana,"Billings (104,100)",$323.91 
Nebraska,"Omaha (408,900)",$336.90 
Nevada,"Las Vegas (583,700)",$293.43 
New Hampshire,"Manchester (109,500)",$183.00 
New Jersey,"Newark (277,100)",$343.67 
New Mexico,"Albuquerque (545,800)",$307.79 
New York,New York City (8.17M),$482.87 
North Carolina,"Charlotte (731,400)",$341.10 
North Dakota,"Fargo (105,500)",$326.66 
Ohio,"Columbus (879,200)",$341.48 
Oklahoma,"Oklahoma City (580,000)",$346.37 
Oregon,"Portland (583,800)",$375.41 
Pennsylvania,Philadelphia (1.52M),$401.02 
Rhode Island,"Providence (178,000)",$390.19 
South Carolina,"Charleston (136,200)",$411.29 
South Dakota,"Sioux Falls (153,900)",$286.23 
Tennessee,"Nashville (660,400)",$346.37 
Texas,Houston (2.10M),$286.64 
Utah,"Salt Lake City (186,400)",$282.23 
Vermont,"Burlington (42,400)",$497.41 
Virginia,"Virginia Beach (438,000)",$298.01 
Washington,"Seattle (608,600)",$402.08 
West Virginia,"Charleston (51,400)",$427.19 
Wisconsin,"Milwaukee (594,800)",$385.97 
Wyoming,"Cheyenne (59,400)",$345.62 
