state ,Regular 
Alaska,3.863
Alabama,3.29
Arkansas,3.208
Arizona,4.527
California,4.892
Colorado,3.556
Connecticut,3.477
District of Columbia,3.718
Delaware,3.553
Florida,3.571
Georgia,3.392
Hawaii,4.786
Iowa,3.518
Idaho,3.559
Illinois,4.06
Indiana,3.722
Kansas,3.303
Kentucky,3.444
Louisiana,3.291
Massachusetts,3.374
Maryland,3.597
Maine,3.457
Michigan,3.636
Minnesota,3.536
Missouri,3.306
Mississippi,3.156
Montana,3.357
North Carolina,3.47
North Dakota,3.449
Nebraska,3.506
New Hampshire,3.33
New Jersey,3.43
New Mexico,3.606
Nevada,4.25
New York,3.584
Ohio,3.639
Oklahoma,3.314
Oregon,4.01
Pennsylvania,3.742
Rhode Island,3.392
South Carolina,3.358
South Dakota,3.503
Tennessee,3.349
Texas,3.324
Utah,3.657
Virginia,3.506
Vermont,3.472
Washington,4.437
Wisconsin,3.534
West Virginia,3.572
Wyoming,3.396
