state,StateLocalTaxRank,IncomeTaxRank,HousePriceRank,AvgGroceryRank,GasPriceRank,TotalScore,CostOfLiving_RankScore
Delaware,1.0,26.0,30.0,35.0,30.0,122.0,24.4
Oregon,1.0,48.0,44.0,34.0,45.0,172.0,34.4
Alaska,1.0,1.0,27.0,48.0,44.0,121.0,24.2
Montana,1.0,21.0,40.0,15.0,11.0,88.0,17.6
New Hampshire,1.0,24.0,37.0,1.0,9.0,72.0,14.4
Hawaii,6.0,43.0,51.0,51.0,50.0,201.0,40.2
Wyoming,7.0,1.0,26.0,27.0,16.0,77.0,15.4
Wisconsin,8.0,39.0,15.0,36.0,28.0,126.0,25.2
Maine,9.0,44.0,32.0,33.0,20.0,138.0,27.6
Virginia,10.0,21.0,34.0,9.0,25.0,99.0,19.8
Maryland,11.0,21.0,36.0,25.0,36.0,129.0,25.8
Kentucky,11.0,29.0,6.0,13.0,18.0,77.0,15.4
District of Columbia,11.0,49.0,49.0,50.0,41.0,200.0,40.0
Michigan,11.0,25.0,13.0,19.0,38.0,106.0,21.2
Idaho,15.0,40.0,43.0,3.0,32.0,133.0,26.6
Massachusetts,16.0,45.0,46.0,43.0,13.0,163.0,32.6
Vermont,17.0,41.0,29.0,49.0,22.0,158.0,31.6
Pennsylvania,18.0,13.0,17.0,41.0,43.0,132.0,26.4
Connecticut,19.0,36.0,31.0,24.0,23.0,133.0,26.6
South Dakota,20.0,1.0,22.0,6.0,24.0,73.0,14.6
West Virginia,21.0,31.0,1.0,46.0,34.0,133.0,26.6
New Jersey,22.0,42.0,42.0,25.0,17.0,148.0,29.6
Iowa,23.0,38.0,5.0,30.0,27.0,123.0,24.6
Nebraska,24.0,30.0,14.0,21.0,25.0,114.0,22.8
North Dakota,25.0,9.0,18.0,17.0,19.0,88.0,17.6
North Carolina,26.0,31.0,25.0,22.0,21.0,125.0,25.0
Rhode Island,27.0,34.0,38.0,37.0,14.0,150.0,30.0
Indiana,27.0,14.0,11.0,14.0,42.0,108.0,21.6
Florida,29.0,1.0,33.0,31.0,33.0,127.0,25.4
Mississippi,30.0,36.0,2.0,45.0,1.0,114.0,22.8
Utah,31.0,33.0,45.0,4.0,40.0,153.0,30.6
Ohio,32.0,15.0,9.0,23.0,39.0,118.0,23.6
Georgia,33.0,15.0,24.0,40.0,14.0,126.0,25.2
South Carolina,34.0,1.0,19.0,44.0,12.0,110.0,22.0
Minnesota,35.0,51.0,28.0,38.0,29.0,181.0,36.2
New Mexico,36.0,20.0,21.0,11.0,37.0,125.0,25.0
Colorado,37.0,26.0,47.0,18.0,31.0,159.0,31.8
Texas,38.0,1.0,23.0,7.0,8.0,77.0,15.4
Nevada,39.0,1.0,41.0,8.0,47.0,136.0,27.2
Missouri,40.0,18.0,12.0,12.0,6.0,88.0,17.6
Arizona,41.0,10.0,39.0,10.0,49.0,149.0,29.8
New York,42.0,50.0,35.0,47.0,35.0,209.0,41.8
Kansas,43.0,26.0,8.0,2.0,5.0,84.0,16.8
Illinois,44.0,35.0,16.0,20.0,46.0,161.0,32.2
California,44.0,47.0,50.0,32.0,51.0,224.0,44.8
Washington,46.0,45.0,48.0,42.0,48.0,229.0,45.8
Oklahoma,47.0,10.0,4.0,28.0,7.0,96.0,19.2
Alabama,48.0,19.0,7.0,39.0,3.0,116.0,23.2
Arkansas,49.0,17.0,3.0,5.0,2.0,76.0,15.2
Louisiana,50.0,12.0,10.0,16.0,4.0,92.0,18.4
Tennessee,50.0,1.0,20.0,28.0,10.0,109.0,21.8
