state,Regular,GasPriceRank
Mississippi,3.156,1.0
Arkansas,3.208,2.0
Alabama,3.29,3.0
Louisiana,3.2910000000000004,4.0
Kansas,3.303,5.0
Missouri,3.306,6.0
Oklahoma,3.3139999999999996,7.0
Texas,3.324,8.0
New Hampshire,3.33,9.0
Tennessee,3.3489999999999998,10.0
Montana,3.3569999999999998,11.0
South Carolina,3.358,12.0
Massachusetts,3.3739999999999997,13.0
Rhode Island,3.392,14.0
Georgia,3.392,14.0
Wyoming,3.3960000000000004,16.0
New Jersey,3.43,17.0
Kentucky,3.444,18.0
North Dakota,3.449,19.0
Maine,3.457,20.0
North Carolina,3.47,21.0
Vermont,3.472,22.0
Connecticut,3.477,23.0
South Dakota,3.503,24.0
Virginia,3.5060000000000002,25.0
Nebraska,3.5060000000000002,25.0
Iowa,3.5180000000000002,27.0
Wisconsin,3.534,28.0
Minnesota,3.536,29.0
Delaware,3.553,30.0
Colorado,3.556,31.0
Idaho,3.5589999999999997,32.0
Florida,3.571,33.0
West Virginia,3.572,34.0
New York,3.5839999999999996,35.0
Maryland,3.597,36.0
New Mexico,3.6060000000000003,37.0
Michigan,3.636,38.0
Ohio,3.639,39.0
Utah,3.657,40.0
District of Columbia,3.718,41.0
Indiana,3.722,42.0
Pennsylvania,3.742,43.0
Alaska,3.863,44.0
Oregon,4.01,45.0
Illinois,4.06,46.0
Nevada,4.25,47.0
Washington,4.437,48.0
Arizona,4.527,49.0
Hawaii,4.7860000000000005,50.0
California,4.8919999999999995,51.0
