state,medianValueZillow,HousePriceRank
West Virginia,129103.0,1.0
Mississippi,157828.0,2.0
Arkansas,169867.0,3.0
Oklahoma,171057.0,4.0
Iowa,183418.0,5.0
Kentucky,188439.0,6.0
Alabama,194695.0,7.0
Kansas,198199.0,8.0
Ohio,199959.0,9.0
Louisiana,205972.0,10.0
Indiana,210166.0,11.0
Missouri,218208.0,12.0
Michigan,225324.0,13.0
Nebraska,230672.0,14.0
Wisconsin,251655.0,15.0
Illinois,253433.0,16.0
Pennsylvania,254597.0,17.0
North Dakota,266763.0,18.0
South Carolina,269186.0,19.0
Tennessee,276963.0,20.0
New Mexico,277617.0,21.0
South Dakota,277809.0,22.0
Texas,289896.0,23.0
Georgia,295159.0,24.0
North Carolina,296021.0,25.0
Wyoming,308862.0,26.0
Alaska,312988.0,27.0
Minnesota,323515.0,28.0
Vermont,336310.0,29.0
Delaware,337543.0,30.0
Connecticut,343687.0,31.0
Maine,344592.0,32.0
Florida,358018.0,33.0
Virginia,358447.0,34.0
New York,382663.0,35.0
Maryland,390608.0,36.0
New Hampshire,411945.0,37.0
Rhode Island,412897.0,38.0
Arizona,416433.0,39.0
Montana,428202.0,40.0
Nevada,434832.0,41.0
New Jersey,441762.0,42.0
Idaho,466435.0,43.0
Oregon,502215.0,44.0
Utah,544868.0,45.0
Massachusetts,559312.0,46.0
Colorado,559838.0,47.0
Washington,595732.0,48.0
District of Columbia,626467.0,49.0
California,760800.0,50.0
Hawaii,848926.0,51.0
